// コマンド,x,y,z
POP,20,-8,0
POP,20,7,0
POP,21,-8,0
POP,21,7,0
POP,22,-8,0
POP,22,7,0
POP,23,-8,0
POP,23,7,0
POP,24,-8,0
POP,24,7,0
POP,25,-8,0
POP,25,7,0
POP,26,-8,0
POP,26,7,0
POP,27,-8,0
POP,27,7,0
POP,28,-8,0
POP,28,7,0
POP,29,-8,0
POP,29,7,0
POP,30,-8,0
POP,30,7,0
POP,31,-8,0
POP,31,7,0
POP,32,-8,0
POP,32,7,0
POP,33,-8,0
POP,33,7,0
POP,34,-8,0
POP,34,7,0
POP,35,-8,0
POP,35,7,0
POP,36,-8,0
POP,36,7,0
POP,37,-8,0
POP,37,7,0
POP,38,-8,0
POP,38,7,0
POP,39,-8,0
POP,39,7,0
POP,40,-8,0
POP,40,7,0
POP,41,-8,0
POP,41,7,0
POP,42,-8,0
POP,42,7,0
POP,43,-8,0
POP,43,7,0
POP,44,-8,0
POP,44,7,0
POP,45,-8,0
POP,45,7,0
POP,46,-8,0
POP,46,7,0
POP,47,-8,0
POP,47,7,0
POP,48,-8,0
POP,48,7,0
POP,49,-8,0
POP,49,7,0
POP,50,-8,0
POP,50,7,0
POP,51,-8,0
POP,51,7,0
POP,52,-8,0
POP,52,7,0
POP,53,-8,0
POP,53,7,0
POP,54,-8,0
POP,54,7,0
POP,55,-8,0
POP,55,7,0
POP,56,-8,0
POP,56,7,0
POP,57,-8,0
POP,57,7,0
POP,58,-8,0
POP,58,7,0
POP,59,-8,0
POP,59,7,0
POP,60,-8,0
POP,60,7,0
POP,61,-8,0
POP,61,7,0
POP,62,-8,0
POP,62,7,0
POP,63,-8,0
POP,63,7,0
POP,-63,-7,0
POP,63,-7,0
POP,-63,-6,0
POP,63,-6,0
POP,-63,-5,0
POP,63,-5,0
POP,-63,-4,0
POP,63,-4,0
POP,-63,-3,0
POP,63,-3,0
POP,-63,-2,0
POP,63,-2,0
POP,-63,-1,0
POP,63,-1,0
POP,-63,0,0
POP,63,0,0
POP,-63,1,0
POP,63,1,0
POP,-63,2,0
POP,63,2,0
POP,-63,3,0
POP,63,3,0
POP,-63,4,0
POP,63,4,0
POP,-63,5,0
POP,63,5,0
POP,-63,6,0
POP,63,6,0
